video_id,label,speech_duration_s,video_duration_s,speech_ratio,words_per_min,transcript_words,hallucination_flag
-AKD2Lv7XqI,Conventional,399.34,415.421,0.9613,139.3,927,0
0Mu2L9z1MH8,Conventional,427.0,411.781,1.0,164.5,1171,0
1WYDsiYJGoQ,Conventional,1229.44,1314.301,0.9354,211.5,4334,0
2_y_3_3V-so,Conventional,204.1,204.901,0.9961,160.8,547,0
3xe-g35SmEY,Conventional,593.64,632.001,0.9393,166.9,1651,0
408qlS2z6ys,Conventional,742.76,828.141,0.8969,138.4,1713,0
4ObzEft2R_g,Conventional,388.38,396.961,0.9784,201.3,1303,0
4dmrahCJonM,Conventional,1345.14,1354.821,0.9929,189.9,4257,0
8YPX1gZGyJg,Conventional,300.76,306.221,0.9822,123.7,620,0
AOf-i2vLd2o,Conventional,1162.84,1236.181,0.9407,126.7,2455,0
AmlmkTPqZrk,Conventional,126.84,144.021,0.8807,165.1,349,0
AoJDIy52y7g,Conventional,599.2,648.281,0.9243,134.5,1343,0
BYvTEfNAi38,Conventional,728.14,809.081,0.9,214.2,2599,0
E_RDCFOlJx4,Conventional,1032.96,1043.641,0.9898,188.1,3239,0
EdUAecpYVWQ,Conventional,940.84,946.581,0.9939,181.1,2839,0
FXSpHy8LvmY,Conventional,897.88,894.461,1.0,178.9,2677,0
GrvvkYTW_0k,Conventional,418.66,465.781,0.8988,175.7,1226,0
ILeLo1lWjBk,Conventional,945.4,1071.321,0.8825,205.4,3236,0
IiilGiJZDsI,Conventional,655.96,656.801,0.9987,157.7,1724,0
KKjHZpNMeik,Conventional,447.88,508.941,0.88,136.0,1015,0
L0QraSYq8tw,Conventional,341.2,372.841,0.9151,146.7,834,0
MEHVDGUP2Co,Conventional,209.58,210.201,0.997,168.9,590,0
OBM5T5_kgdI,Conventional,479.42,512.541,0.9354,193.0,1542,0
PS_p3O9q4YI,Conventional,1081.08,1259.881,0.8581,147.5,2658,0
PlKeFj5teo4,Conventional,370.56,437.561,0.8469,213.4,1318,0
RiRyzLl4Y8U,Conventional,1058.42,1138.741,0.9295,154.4,2724,0
Sd6CcsCgFbg,Conventional,2293.42,2315.721,0.9904,164.6,6293,0
URj7TorDHmQ,Conventional,658.82,669.141,0.9846,165.4,1816,0
UrCFv2qCELI,Conventional,641.76,745.301,0.8611,163.4,1748,0
WoxDbIbpP_Q,Conventional,2012.8,2109.541,0.9541,181.3,6081,0
XRsJRqipSx8,Conventional,1084.34,1082.801,1.0,134.8,2436,0
_VzHpLjKeZ8,Conventional,2827.32,2957.301,0.956,199.2,9386,0
aXTtu4n37WI,Conventional,1165.8,1283.301,0.9084,195.6,3800,0
aqfyRUVSq9I,Conventional,906.86,926.421,0.9789,200.8,3035,0
btOIDQeMrMg,Conventional,299.8,302.121,0.9923,193.5,967,0
dQeNONerxEU,Conventional,1431.6,1474.861,0.9707,205.2,4897,0
dmPIydL0lyM,Conventional,798.42,775.261,1.0,167.4,2228,0
ewYBc1jBDGM,Conventional,1017.08,1029.201,0.9882,154.0,2611,0
hpeKrMG-WP0,Conventional,850.2,851.621,0.9983,192.9,2734,0
iKZ05QIN8mc,Conventional,1902.26,2147.941,0.8856,149.2,4729,0
jhvXWpRmhvM,Conventional,360.3,359.281,1.0,164.4,987,0
lAVYDUeqdW4,Conventional,295.0,313.361,0.9414,137.9,678,0
lBC1nEq0_nk,Conventional,891.1,967.321,0.9212,186.0,2762,0
lBGE5lwbruE,Conventional,785.0,789.873,0.9938,124.8,1633,0
n3TeLpbw_jk,Conventional,1189.86,1304.221,0.9123,231.2,4584,0
nxKkM4bXPFI,Conventional,487.44,483.821,1.0,182.5,1483,0
sL0LtyfNYkM,Conventional,978.84,961.401,1.0,120.0,1957,0
t1Q9_PlN4GU,Conventional,211.0,198.861,1.0,142.7,502,0
tFVAaUcOm4I,Conventional,1222.84,1338.441,0.9136,191.3,3899,0
taSlxgvvrBM,Conventional,274.06,267.781,1.0,188.1,859,0
uwDajwnP2XE,Conventional,483.42,478.341,1.0,185.8,1497,0
wEevt2a4SKI,Conventional,5615.78,5766.161,0.9739,184.8,17301,0
wKyt5ssrDQ8,Conventional,240.84,258.681,0.931,199.3,800,0
yctzuuGAm-E,Conventional,2242.64,2431.801,0.9222,134.6,5031,0
zUyj7Xn9-sk,Conventional,191.94,230.021,0.8344,25.0,80,1
zt7YAna-Qcc,Conventional,919.98,938.941,0.9798,127.8,1960,0
-qCO7NUpLc0,Embodied,453.7,479.161,0.9469,5.6,42,1
09c4bdKM5Kw,Embodied,798.74,875.981,0.9118,248.6,3309,0
15cdyl2PU-E,Embodied,401.0,428.641,0.9355,190.0,1270,0
31ArBvYoG2Q,Embodied,1491.48,1648.181,0.9049,262.0,6512,0
35YuILUlfGs,Embodied,602.06,664.661,0.9058,166.9,1675,0
3cFSNRG2xfA,Embodied,148.16,151.952,0.975,153.1,378,0
3dQjIeYoIdM,Embodied,477.0,478.921,0.996,146.5,1165,0
56p3_aORiJ0,Embodied,1212.56,1209.921,1.0,164.8,3331,0
7JH1_ZKV7t4,Embodied,512.7,523.701,0.979,198.5,1696,0
9fFjlxUUQZg,Embodied,360.82,417.801,0.8636,112.9,679,0
9fYzb1g8tzw,Embodied,633.36,652.061,0.9713,206.5,2180,0
